,first_contribution
2015-06-01 00:00:01,2
2015-07-01 00:00:01,0
2015-08-01 00:00:01,0
2015-09-01 00:00:01,0
2015-10-01 00:00:01,0
2015-11-01 00:00:01,0
2015-12-01 00:00:01,0
2016-01-01 00:00:01,0
2016-02-01 00:00:01,0
2016-03-01 00:00:01,1
2016-04-01 00:00:01,2
2016-05-01 00:00:01,0
2016-06-01 00:00:01,0
2016-07-01 00:00:01,2
2016-08-01 00:00:01,2
2016-09-01 00:00:01,4
2016-10-01 00:00:01,13
2016-11-01 00:00:01,0
2016-12-01 00:00:01,3
2017-01-01 00:00:01,5
2017-02-01 00:00:01,5
2017-03-01 00:00:01,0
2017-04-01 00:00:01,1
2017-05-01 00:00:01,4
2017-06-01 00:00:01,4
2017-07-01 00:00:01,0
